osm_id,ktCO2,ktC,mean_cars
1036246971,0,0.03,489.36
1036246976,0.01,0.24,478.33
1036246977,0,0.1,482.28
1036246980,0,0.05,479.43
1036246982,0,0.02,503.31
1036246986,0.01,0.15,518.52
1036246987,0,0.09,538.28
1036246991,0,0.01,505.94
1036290004,0,0.07,533.24
103633375,0,0.05,492.24
103633379,0.01,0.13,301.68
1036342257,0,0.06,531.27
1036450413,0,0.03,552.78
1036450414,0,0.05,605.24
1036709237,0,0.08,497.47
1036709242,0,0.04,498.41
1036709243,0,0.06,540.49
1036709244,0,0.06,539.19
1036709246,0.01,0.13,503.61
1036788069,0.01,0.15,506.54
1036788070,0,0.03,501.77
1037060788,0.01,0.19,512.54
1037060789,0,0.05,135.14
1037060791,0,0.03,550.36
1037060792,0,0.02,550.39
1037116926,0,0.01,544.37
1037116927,0,0.09,543.63
1037175307,0,0.05,552.1
1037399581,0,0.02,539.61
1037399582,0,0.02,539.61
1037447009,0,0.01,465.86
1037611101,0,0,489.83
1037712677,0,0.02,457.19
1037784397,0,0.02,459.76
1038272616,0.04,0.93,502.12
1038272617,0.01,0.16,498.29
1038276889,0,0.03,496.72
103844056,0,0.02,539.61
1039170874,0,0.1,450.48
1039464281,0,0.04,501.97
1039464282,0,0.07,437.51
1039466857,0.01,0.21,503.48
1040934262,0,0.02,546.8
1040940511,0,0.03,457.4
1040948508,0,0.03,532.98
1040948509,0,0.11,512.67
1040948510,0,0.03,512.05
1041253675,0,0.01,503.09
1041253676,0,0.02,501.9
1041253677,0,0.02,502.19
1041253678,0,0.01,501.65
1041253679,0,0.02,514.88
1041502975,0,0.08,461.57
1041502976,0,0.03,459.05
1041502979,0.01,0.17,555.02
1041502980,0,0.1,554.24
1041502982,0,0.04,505.98
1041693599,0.01,0.12,489.09
1042036073,0,0.02,473.82
1042165532,0,0.01,464.88
10422358,0,0.03,453.56
1042324563,0,0.06,492.93
1042721232,0,0.06,547.18
104298817,0,0.03,477.91
104298847,0.01,0.24,488.72
104298874,0.02,0.56,480.18
104298880,0,0.03,489.93
1044257447,0.01,0.12,493.73
1044263336,0,0.02,542
1044270645,0,0.09,544.6
1044393269,0,0.09,408.53
1044393270,0,0.07,409.16
1044393271,0,0.01,411.33
1044393273,0,0.02,357.56
1044393274,0,0.01,411.39
1044504553,0.01,0.12,528.67
1044598053,0,0.08,490.85
1044598847,0,0.08,497.1
1044598848,0,0.01,552.46
1044598978,0.01,0.17,496.44
1044674001,0.01,0.18,492.19
1044811486,0,0.02,483.17
1044811487,0,0.03,485.73
1045086255,0.01,0.23,484.62
104590139,0,0.04,157.22
