date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-29T11:00:00Z,120614.6,3537.3047921846264,22331.469647630216,81882.05537464413,13938064.359676363,202788.56724300308,1280230.8538068375,4694179.797291738,14058678.959676363,206325.8720351877,1302562.3234544676,4776061.852666382
2022-09-29T12:00:00Z,116851.98333333334,3422.5921402990793,21607.273612999237,79226.66991433053,14851120.249976851,215928.46668738165,1363184.7644405405,4998344.136281982,14967972.233310184,219351.05882768074,1384792.0380535396,5077570.806196312
2022-09-29T13:00:00Z,116363.06666666667,3443.022787186691,21736.254969612946,79699.60155524747,15517391.68385228,224510.03372628894,1417361.3240296019,5196991.521441873,15633754.750518946,227953.05651347563,1439097.5789992148,5276691.122997121
2022-09-29T14:00:00Z,129376.36666666667,3811.948562276595,24065.33183255426,88239.55005269895,16444207.406880125,238975.027305679,1508680.7279398926,5531829.335779606,16573583.773546793,242786.9758679556,1532746.0597724468,5620068.885832305
2022-09-29T15:00:00Z,135633.78333333333,4170.766830134772,26330.598675093257,96545.52847534194,17363984.912061915,255809.00049722125,1614955.811219831,5921504.641139381,17499618.69539525,259979.767327356,1641286.4098949241,6018050.169614723
2022-09-29T16:00:00Z,138683.15,4410.41167598443,27843.508055457256,102092.86287000995,17663794.773728274,263017.8621549291,1660466.3014831382,6088376.438771507,17802477.923728272,267428.27383091353,1688309.8095385954,6190469.301641516
2022-09-29T17:00:00Z,133862.18333333332,4048.2556128540436,25557.169273068455,93709.62066791767,17570407.254070908,253005.2240487794,1597255.2023281527,5856602.40853656,17704269.43740424,257053.47966163344,1622812.3716012212,5950312.029204478
2022-09-29T18:00:00Z,127088.6,3833.6251844962862,24202.17919505231,88741.3237151918,16615683.423106795,243576.4396452014,1537730.0482651603,5638343.510305588,16742772.023106795,247410.0648296977,1561932.2274602125,5727084.83402078
2022-09-29T19:00:00Z,111325.06666666667,3185.6330616662035,20111.319833751284,73741.50605708805,12682409.321956154,182135.91718909764,1149847.962052384,4216109.194192074,12793734.38862282,185321.55025076386,1169959.2818861352,4289850.7002491625
2022-09-29T20:00:00Z,87002.63333333333,2482.179974341437,15670.328120842403,57457.86977642215,7729194.330458287,112243.52674119089,708608.123366104,2598229.7856757147,7816196.963791621,114725.70671553232,724278.4514869464,2655687.655452137
2022-09-29T21:00:00Z,69056.4,1806.812782678568,11406.64635529399,41824.369969411295,5870383.749827749,83143.23362855187,524894.1516954032,1924611.8895498116,5939440.1498277495,84950.04641123043,536300.7980506972,1966436.259519223
2022-09-29T22:00:00Z,63751.7,1649.619990658181,10414.267617791545,38185.647931902335,4815893.829587669,67899.77349494214,428660.18620544276,1571754.0160866235,4879645.529587669,69549.39348560032,439074.4538232343,1609939.664018526
2022-09-29T23:00:00Z,47164.666666666664,1187.8585429402954,7499.106963006914,27496.725531025353,3671761.7309533395,51256.414681554874,323588.4765249676,1186491.080591548,3718926.397620006,52444.27322449517,331087.5834879745,1213987.8061225733
